ranking,album_title,artist,rating,num_ratings,num_reviews,release_type
1,To Pimp a Butterfly,Kendrick Lamar,4.38,102000,986,Album
2,OK Computer,Radiohead,4.3,128000,2000,Album
3,Wish You Were Here,Pink Floyd,4.36,89000,1000,Album
4,In the Court of the Crimson King,King Crimson,4.33,82000,1000,Album
5,Madvillainy,Madvillain,4.33,75000,642,Album
6,Loveless,My Bloody Valentine,4.25,91000,2000,Album
7,Abbey Road,The Beatles,4.29,80000,1000,Album
8,Remain in Light,Talking Heads,4.26,67000,742,Album
9,The Rise and Fall of Ziggy Stardust and The Spiders From Mars,David Bowie,4.26,69000,886,Album
10,Illmatic,Nas,4.27,61000,763,Album
11,Lift Yr. Skinny Fists Like Antennas to Heaven!,Godspeed You Black Emperor!,4.26,61000,903,Album
12,Vespertine,Björk,4.28,53000,508,Album
13,Paranoid,Black Sabbath,4.24,65000,755,Album
14,Disintegration,The Cure,4.25,56000,587,Album
15,Songs in the Key of Life,Stevie Wonder,4.31,32000,389,Album
16,LONG SEASON,Fishmans,4.22,49000,420,Album
17,My Beautiful Dark Twisted Fantasy,Kanye West,4.08,92000,913,Album
18,Heaven or Las Vegas,Cocteau Twins,4.2,53000,404,Album
19,Enter the Wu-Tang (36 Chambers),Wu-Tang Clan,4.22,50000,529,Album
20,Dummy,Portishead,4.18,57000,557,Album
21,Spiderland,Slint,4.16,60000,694,Album
22,Pink Moon,Nick Drake,4.19,52000,733,Album
23,In the Aeroplane Over the Sea,Neutral Milk Hotel,4.08,80000,1000,Album
24,The Money Store,Death Grips,4.11,71000,508,Album
25,Souvlaki,Slowdive,4.15,58000,453,Album
26,The Queen Is Dead,The Smiths,4.13,65000,655,Album
27,"""The Glow"" Pt. 2",The Microphones,4.18,49000,475,Album
28,What's Going On,Marvin Gaye,4.21,40000,480,Album
29,Discovery,Daft Punk,4.13,56000,478,Album
30,Unknown Pleasures,Joy Division,4.1,65000,693,Album
31,In a Silent Way,Miles Davis,4.23,31000,371,Album
32,The Low End Theory,A Tribe Called Quest,4.17,47000,382,Album
33,Either / Or,Elliott Smith,4.18,45000,401,Album
34,Selected Ambient Works 85-92,Aphex Twin,4.11,57000,401,Album
